0.2	3.7	1.04597
0.2	3.75	1.0449
0.2	3.8	1.04379
0.2	3.85	1.04263
0.2	3.9	1.04143
0.2	3.95	1.04018
0.2	4	1.0389
0.2	4.05	1.03758
0.2	4.1	1.03628
0.2	4.15	1.03491
0.2	4.2	1.03367
0.2	4.25	1.03275
0.2	4.3	1.03158
0.2	4.35	1.03053
0.2	4.4	1.02969
0.2	4.45	1.0298
0.2	4.5	1.03023
0.2	4.55	1.03316
0.2	4.6	1.0403
0.2	4.65	1.04499
0.2	4.7	1.05389
0.2	4.75	1.06629
0.2	4.8	1.07784
0.2	4.85	1.08743
0.2	4.9	1.09534
0.2	4.95	1.12499
0.2	5	1.15346
0.2	5.05	1.18179
0.2	5.1	1.2357
0.2	5.15	1.28284
0.2	5.2	1.29126
0.2	5.25	1.32395
0.2	5.3	1.32451
0.2	5.35	1.33692
0.2	5.4	1.36956
0.2	5.45	1.37903
0.2	5.5	1.38705
0.2	5.55	1.40381
0.2	5.6	1.3769
0.2	5.65	1.37168
0.2	5.7	1.37597
0.2	5.75	1.3345
0.2	5.8	1.34217
0.2	5.85	1.35817
0.2	5.9	1.34073
0.2	5.95	1.32214
0.2	6	1.32243
0.2	6.05	1.28529
0.2	6.1	1.31401
0.2	6.15	1.29883
0.2	6.2	1.30874
0.2	6.25	1.32852
0.2	6.3	1.36753
0.2	6.35	1.38457
0.2	6.4	1.39436
0.2	6.45	1.40652
0.2	6.5	1.40735
0.2	6.55	1.39762
0.2	6.6	1.40209
0.2	6.65	1.40563
0.2	6.7	1.3813
0.2	6.75	1.35444
0.2	6.8	1.32718
0.2	6.85	1.32666
0.2	6.9	1.31447
0.2	6.95	1.31964
0.2	7	1.28483
0.2	7.05	1.24404
0.2	7.1	1.27515
0.2	7.15	1.27285
0.2	7.2	1.22716
0.2	7.25	1.19909
0.2	7.3	1.17938
0.2	7.35	1.1896
0.2	7.4	1.15017
0.2	7.45	1.11088
0.2	7.5	1.11315
0.2	7.55	1.1002
0.2	7.6	1.08365
0.2	7.65	1.05653
0.2	7.7	1.04164
0.2	7.75	1.03833
0.2	7.8	1.02861
0.2	7.85	1.0222
0.2	7.9	1.01966
0.2	7.95	1.01982
0.2	8	1.01972
0.2	8.05	1.01323
0.2	8.1	1.01472
0.2	8.15	1.01898
0.2	8.2	1.02116
0.2	8.25	1.02384
0.2	8.3	1.02595
0.2	8.35	1.02791
0.2	8.4	1.02911
0.2	8.45	1.03157
0.2	8.5	1.03357
0.2	8.55	1.03543
0.2	8.6	1.0371
0.2	8.65	1.03861
