#1 index
#2 imgX
#3 imgY
#4 imgBri
#5 srcX
#6 srcY
0	559	351	3.862169	257.244737	250.677430	0	
1	559	352	3.981361	257.427926	250.733146	1	
2	559	353	4.351033	257.620626	250.791753	2	
3	559	354	3.914413	257.822776	250.853394	3	
4	559	356	3.302125	258.255168	250.986332	4	
5	560	351	4.996157	259.185658	250.854480	5	
6	560	352	3.565886	259.366056	250.919664	6	
7	560	353	3.610017	259.555824	250.987682	7	
8	560	354	4.042774	259.754902	251.058671	8	
9	560	355	3.741658	259.963228	251.132770	9	
10	560	356	4.618546	260.180739	251.210114	10	
11	561	351	3.731581	261.117154	251.028837	11	
12	561	352	4.316434	261.294817	251.103350	12	
13	561	353	2.851558	261.481711	251.180639	13	
14	561	354	3.254776	261.677779	251.260840	14	
15	561	355	2.518482	261.882959	251.344088	15	
16	561	356	3.821478	262.097191	251.430516	16	
17	562	351	2.852469	263.039363	251.200555	17	
18	562	352	3.487615	263.214346	251.284259	18	
19	562	353	3.683393	263.398424	251.370683	19	
20	562	354	5.050140	263.591542	251.459961	20	
21	562	355	4.196403	263.793640	251.552225	21	
22	562	356	3.392397	264.004658	251.647607	22	
23	563	351	2.978427	264.952423	251.369688	23	
24	563	352	2.691839	265.124779	251.462447	24	
25	563	353	3.079035	265.306097	251.557872	25	
26	563	354	3.146649	265.496323	251.656096	26	
27	563	355	3.239836	265.695400	251.757246	27	
28	563	356	4.152595	265.903268	251.861451	28	
29	564	351	3.208331	266.856468	251.536286	29	
30	564	352	3.260391	267.026249	251.637968	30	
31	564	353	4.501615	267.204862	251.742265	31	
32	564	354	4.407352	267.392254	251.849303	32	
33	564	355	3.568738	267.588369	251.959211	33	
34	564	356	3.374306	267.793149	252.072114	34	
